Date,Week
8/27,Week 1
9/3,Week 2
9/10,Week 3
9/17,Week 4
9/24,Week 1
10/1,Week 2
10/8,Week 3
10/15,Week 4
10/22,Week 1
10/29,Week 2
11/12,Week 4
11/19,Week 1
11/26,Week 2
12/3,Week 3
12/10,Week 4
